artifact,split,scope,threshold,metric,value,status,notes
artifacts/EXP-CHAAD-001/validation_predictions_corrected.csv,val,overall,NA,row_count,28254,VALIDATED,Matches manifest validation count
artifacts/EXP-CHAAD-001/validation_predictions_corrected.csv,val,overall,NA,unique_sample_ids,28254,VALIDATED,No duplicate sample IDs
artifacts/EXP-CHAAD-001/validation_predictions_corrected.csv,val,overall,NA,roc_auc,0.6002609444987201,VALIDATED,Independently recomputed from continuous scores
artifacts/EXP-CHAAD-001/validation_predictions_corrected.csv,val,overall,NA,pr_auc,0.25788610546048196,VALIDATED,Average precision
artifacts/EXP-CHAAD-001/validation_predictions_corrected.csv,val,overall,NA,eer,0.42651353324563995,VALIDATED,Nearest sampled ROC crossing; stored report uses interpolation/alternate convention 0.4264914171805303
artifacts/EXP-CHAAD-001/validation_predictions_corrected.csv,val,overall,NA,youden_threshold,0.4995152950286865,VALIDATED,Selected on validation only
artifacts/EXP-CHAAD-001/validation_predictions_corrected.csv,val,overall,0.5,accuracy,0.544453882636087,VALIDATED,
artifacts/EXP-CHAAD-001/validation_predictions_corrected.csv,val,overall,0.5,balanced_accuracy,0.5756161662654282,VALIDATED,
artifacts/EXP-CHAAD-001/validation_predictions_corrected.csv,val,overall,0.5,precision,0.2475717979176857,VALIDATED,
artifacts/EXP-CHAAD-001/validation_predictions_corrected.csv,val,overall,0.5,recall,0.6275239107332625,VALIDATED,
artifacts/EXP-CHAAD-001/validation_predictions_corrected.csv,val,overall,0.5,specificity,0.5237084217975938,VALIDATED,
artifacts/EXP-CHAAD-001/validation_predictions_corrected.csv,val,overall,0.5,f1,0.3550633862805031,VALIDATED,
artifacts/EXP-CHAAD-001/validation_predictions_corrected.csv,val,overall,0.5,true_negative,11840,VALIDATED,
artifacts/EXP-CHAAD-001/validation_predictions_corrected.csv,val,overall,0.5,false_positive,10768,VALIDATED,
artifacts/EXP-CHAAD-001/validation_predictions_corrected.csv,val,overall,0.5,false_negative,2103,VALIDATED,
artifacts/EXP-CHAAD-001/validation_predictions_corrected.csv,val,overall,0.5,true_positive,3543,VALIDATED,
artifacts/EXP-CHAAD-001/validation_predictions_corrected.csv,val,overall,0.4995152950286865,accuracy,0.5441353436681532,VALIDATED,
artifacts/EXP-CHAAD-001/validation_predictions_corrected.csv,val,overall,0.4995152950286865,balanced_accuracy,0.5760815437417693,VALIDATED,
artifacts/EXP-CHAAD-001/validation_predictions_corrected.csv,val,overall,0.4995152950286865,precision,0.247768479776848,VALIDATED,
artifacts/EXP-CHAAD-001/validation_predictions_corrected.csv,val,overall,0.4995152950286865,recall,0.6292950761601134,VALIDATED,
artifacts/EXP-CHAAD-001/validation_predictions_corrected.csv,val,overall,0.4995152950286865,specificity,0.5228680113234253,VALIDATED,
artifacts/EXP-CHAAD-001/validation_predictions_corrected.csv,val,overall,0.4995152950286865,f1,0.35554888421895325,VALIDATED,
artifacts/EXP-CHAAD-001/validation_predictions_corrected.csv,val,machine_type_fan,NA,roc_auc,0.47782614330615936,VALIDATED,n=7368
artifacts/EXP-CHAAD-001/validation_predictions_corrected.csv,val,machine_type_pump,NA,roc_auc,0.6541110506388094,VALIDATED,n=6795
artifacts/EXP-CHAAD-001/validation_predictions_corrected.csv,val,machine_type_slider,NA,roc_auc,0.5668446978729771,VALIDATED,n=8277
artifacts/EXP-CHAAD-001/validation_predictions_corrected.csv,val,machine_type_valve,NA,roc_auc,0.5630984835611726,VALIDATED,n=5814
artifacts/EXP-CHAAD-001/validation_predictions_corrected.csv,val,machine_id_id_00,NA,roc_auc,0.6342979841138342,VALIDATED,n=14292
artifacts/EXP-CHAAD-001/validation_predictions_corrected.csv,val,machine_id_id_02,NA,roc_auc,0.5635492185226376,VALIDATED,n=13962
reports/test_predictions.csv,val despite filename,overall,NA,roc_auc,0.600271176018746,PROVISIONALLY USABLE,28254 unique rows for id_00/id_02; not protected test evidence
reports/test_predictions.csv,val despite filename,overall,NA,pr_auc,0.2575819159207297,PROVISIONALLY USABLE,Semantically mislabeled path
